Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
1972.187.1,False,True,True,134,734,The American Wing,1972,Bedroom,"Architectural elements from a Retiring Room in the North Family Dwelling American, New Lebanon, New York","American, Shaker",,,,,8737,Maker," ",United Society of Believers in Christ’s Second Appearing (“Shakers”),"American, active ca. 1750–present"," ",United Society of Believers in Christ’s Second Appearing,American,1750      ,9999      ,,(not assigned),https://www.wikidata.org/wiki/Q1370167,ca. 1830–40,1827,1840,Wood,Dimensions unavailable,"Purchase, Emily Crane Chadbourne Bequest, 1972",Made in,New Lebanon,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/134,https://www.wikidata.org/wiki/Q116373629,,"Metropolitan Museum of Art, New York, NY",,,
41.111,False,True,True,193,712,The American Wing,1941,Armchair,Turned armchair,American,,,,,,,,,,,,,,,,,,1665–90,1665,1690,Ash,39 1/2 x 24 x 17 in. (100.3 x 61 x 43.2 cm),"Rogers Fund, 1941",Probably made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/193,https://www.wikidata.org/wiki/Q83545839,,"Metropolitan Museum of Art, New York, NY",,,
51.12.2,True,True,True,200,708,The American Wing,1951,Armchair,Spindle-back armchair,American,,,,,,,,,,,,,,,,,,1640–80,1640,1680,Ash,44 3/4 x 23 1/2 x 15 3/4 in. (113.7 x 59.7 x 40 cm),"Gift of Mrs. J. Insley Blair, 1951",Possibly made in|Possibly made in,Boston|Charlestown,,,United States|United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/200,https://www.wikidata.org/wiki/Q29382862,,"Metropolitan Museum of Art, New York, NY",,,
1986.204,True,True,True,214,736,The American Wing,1986,Armchair,Armchair,American,,,,,345,Maker,Possibly,Gustave Herter,1830–1898," ","Herter, Gustave","German (Stuttgart, principality of Württemberg)",1830      ,1898      ,,http://vocab.getty.edu/page/ulan/500088027,https://www.wikidata.org/wiki/Q1556712,ca. 1855,1852,1858,"Walnut, original leather, modern velvet cushion",64 1/2 x 25 3/8 x 22 1/4 in. (163.8 x 64.5 x 56.5 cm),"Friends of the American Wing Fund, 1986",Probably made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/214,https://www.wikidata.org/wiki/Q83560001,,"Metropolitan Museum of Art, New York, NY",,,
59.154,False,True,True,216,,The American Wing,1959,Armchair,Armchair,American,,,,,110,Maker,Attributed to,Thomas Affleck,1740–1795," ","Affleck, Thomas",American,1740      ,1795      ,,http://vocab.getty.edu/page/ulan/500034377,https://www.wikidata.org/wiki/Q7786960,1765–75,1765,1775,"Mahogany, white oak",43 x 28 1/4 x 30 in. (109.2 x 71.8 x 76.2 cm),"Purchase, Gift of Mrs. Russell Sage and The Sylmaris Collection, Gift of George Coe Graves, by exchange; Robert G. Goelet Gift; and funds from various donors, 1959",Made in,Philadelphia,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/216,https://www.wikidata.org/wiki/Q83560003,,"Metropolitan Museum of Art, New York, NY",,,
45.105,False,True,True,230,714,The American Wing,1945,Armchair,Armchair,American,,,,,111,Maker,Attributed to,Samuel McIntire,1757–1811," ","McIntire, Samuel",American,1757      ,1811      ,,http://vocab.getty.edu/page/ulan/500023295,https://www.wikidata.org/wiki/Q370420,1801,1801,1801,"Mahogany, birch, white pine",32 1/2 x 21 x 18 in. (82.6 x 53.3 x 45.7 cm),"Rogers Fund, 1945",Made in,Salem,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/230,https://www.wikidata.org/wiki/Q83560005,,"Metropolitan Museum of Art, New York, NY",,,
1970.35.1,True,True,True,237,736,The American Wing,1970,Armchair,Armchair,American,,,,,16381,Maker,Attributed to,Pottier and Stymus Manufacturing Company,active ca. 1858–1918/19," ",Pottier and Stymus Manufacturing Company ," ",1858      ,1919      ,,http://vocab.getty.edu/page/ulan/500330539,https://www.wikidata.org/wiki/Q2106610,ca. 1870–75,1867,1875,"Rosewood, prickly juniper veneer, gilding, brass, original tapestry upholstery",37 x 27 1/2 x 27 1/2 in. (94 x 69.9 x 69.9 cm),"Funds from various donors, 1970",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/237,https://www.wikidata.org/wiki/Q29382865,,"Metropolitan Museum of Art, New York, NY",Sphinx,http://vocab.getty.edu/page/aat/300375739,https://www.wikidata.org/wiki/Q151480
68.133.3,False,True,True,247,737,The American Wing,1968,Armchair,Armchair,American,,,,,112,Maker,Attributed to,John Jelliff,1813–1893," ","Jelliff, John",American,1813      ,1893      ,,http://vocab.getty.edu/page/ulan/500062668,https://www.wikidata.org/wiki/Q55720851,1868–70,1868,1870,"Rosewood, ash, mother-of-pearl",44 1/2 x 28 1/2 x 29 3/8 in. (113 x 72.4 x 74.6 cm),"Gift of Josephine M. Fiala, 1968",Made in,Newark,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/247,https://www.wikidata.org/wiki/Q83560008,,"Metropolitan Museum of Art, New York, NY",,,
69.262.3,False,True,True,265,713,The American Wing,1969,Armchair,Armchair,American or French,,,,,112,Maker," ",Auguste-Emile Rinquet-Leprince,1801–1886," ","Ringuet-Leprince, Auguste-Emile",French,1801      ,1886      ,,,,ca. 1843,1838,1848,"Applewood or pearwood, ebonized walnut, beech, and gilt bronze mounts",38 1/2 x 23 1/4 x 26 1/8 in. (97.8 x 59.1 x 66.4 cm),"Gift of Mrs. Douglas Williams, 1969",Possibly made in|Possibly made in,New York|Paris,,,United States|France,,,,,,,,,http://www.metmuseum.org/art/collection/search/265,https://www.wikidata.org/wiki/Q83560011,,"Metropolitan Museum of Art, New York, NY",,,
1981.226,False,True,True,442,734,The American Wing,1981,Bedstead,Bedstead,"American, Shaker",,,,,8737,Maker," ",United Society of Believers in Christ’s Second Appearing (“Shakers”),"American, active ca. 1750–present"," ",United Society of Believers in Christ’s Second Appearing,American,1750      ,9999      ,,(not assigned),https://www.wikidata.org/wiki/Q1370167,1830–60,1830,1860,"Maple, pine",71 x 30 x 31 in. (180.3 x 76.2 x 78.7 cm),"Purchase, Anonymous Gift, 1981",Made in,New Lebanon,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/442,https://www.wikidata.org/wiki/Q116373369,,"Metropolitan Museum of Art, New York, NY",,,
